stock_item_name,transcription,attribution,action,db_price_per_piece,pdf_price_per_piece,v2_price_per_piece,db_list_rate,v2_list_rate,page_no,thread_form,size,grade,pack_qty,confidence,reason
HSS LH TAP 18 X 2.5 SEC TOTEM,OK,OK,KEEP,2080.00,2080,2080.00,2808.00,2808.00,4,Metric Coarse,18.0 X 2.50,Standard,1,review,
HSS LH TAP 18 X 2.5 SET TOTEM,OK,OK,KEEP,2080.00,2080,2080.00,8424.00,8424.00,4,Metric Coarse,18.0 X 2.50,Standard,3,review,
HSS LH TAP 20 X 1.5 BOT TOTEM,OK,OK,KEEP,2996.00,2996,2996.00,4044.60,4044.60,5,Metric Coarse,20.0 X 1.50,Standard,1,verified,
HSS LH TAP 20 X 1.5 TYPE C TOTEM,OK,OK,KEEP,2996.00,2996,2996.00,4044.60,4044.60,5,Metric Coarse,20.0 X 1.50,Standard,1,review,
HSS LH TAP 20 X 2.5 BOT TOTEM,OK,OK,KEEP,2652.00,2652,2652.00,3580.20,3580.20,4,Metric Coarse,20.0 X 2.50,Standard,1,verified,
HSS LH TAP 20 X 2.5 GOLD TOTEM,OK,OK,KEEP,3388.00,3388,3388.00,4573.80,4573.80,9,Metric Coarse,20.0 X 2.50,STD GOLD,1,review,
HSS LH TAP 20 X 2.5 SEC TOTEM,OK,OK,KEEP,2652.00,2652,2652.00,3580.20,3580.20,4,Metric Coarse,20.0 X 2.50,Standard,1,review,
HSS LH TAP 20 X 2.5 SET TOTEM,OK,OK,KEEP,2652.00,2652,2652.00,10740.60,10740.60,4,Metric Coarse,20.0 X 2.50,Standard,3,verified,
HSS LH TAP 20 X 2.5 TOTEM,OK,OK,KEEP,2652.00,2652,2652.00,3580.20,3580.20,4,Metric Coarse,20.0 X 2.50,Standard,1,review,
HSS LH TAP 20 X 2.5 TPR TOTEM,OK,OK,KEEP,2652.00,2652,2652.00,3580.20,3580.20,4,Metric Coarse,20.0 X 2.50,Standard,1,verified,
HSS LH TAP 22 X 2.5 GOLD TOTEM,OK,OK,KEEP,3293.00,3293,3293.00,4445.55,4445.55,9,Metric Coarse,22.0 X 2.50,STD GOLD,1,review,
HSS LH TAP 24 X 1.5 BOT TOTEM,OK,OK,KEEP,3573.00,3573,3573.00,4823.55,4823.55,5,Metric Coarse,24.0 X 1.50,Standard,1,verified,
HSS LH TAP 24 X 1.5 SEC TOTEM,OK,OK,KEEP,3573.00,3573,3573.00,4823.55,4823.55,5,Metric Coarse,24.0 X 1.50,Standard,1,review,
HSS LH TAP 24 X 2 BOT TOTEM,OK,OK,KEEP,3554.00,3554,3554.00,4797.90,4797.90,5,Metric Coarse,24.0 X 2.00,Standard,1,review,
HSS LH TAP 24 X 2 PAIR TOTEM,OK,OK,KEEP,3554.00,3554,3554.00,9595.80,9595.80,5,Metric Coarse,24.0 X 2.00,Standard,2,verified,
HSS LH TAP 24 X 3 BOT TOTEM,OK,OK,KEEP,3167.00,3167,3167.00,4275.45,4275.45,4,Metric Coarse,24.0 X 3.00,Standard,1,verified,
HSS LH TAP 24 X 3 GOLD TOTEM,OK,OK,KEEP,3719.00,3719,3719.00,5020.65,5020.65,9,Metric Coarse,24.0 X 3.00,STD GOLD,1,review,
HSS LH TAP 24 X 3 SEC TOTEM,OK,OK,KEEP,3167.00,3167,3167.00,4275.45,4275.45,4,Metric Coarse,24.0 X 3.00,Standard,1,review,
HSS LH TAP 24 X 3 SET TOTEM,OK,OK,KEEP,3167.00,3167,3167.00,12826.35,12826.35,4,Metric Coarse,24.0 X 3.00,Standard,3,review,
HSS LH TAP 24 X 3 TPR TOTEM,OK,OK,KEEP,3167.00,3167,3167.00,4275.45,4275.45,4,Metric Coarse,24.0 X 3.00,Standard,1,verified,
HSS LH TAP 27 X 3 GOLD TOTEM,OK,OK,KEEP,5425.00,5425,5425.00,7323.75,7323.75,9,Metric Coarse,27.0 X 3.00,STD GOLD,1,review,
HSS LH TAP 27 X 3 SEC TOTEM,OK,OK,KEEP,4795.00,4795,4795.00,6473.25,6473.25,4,Metric Coarse,27.0 X 3.00,Standard,1,review,
HSS LH TAP 27X3 TPR TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,4795.00,4795,,6473.25,,4,Metric Coarse,27.0 X 3.00,Standard,1,review,item absent from this project's stock_items
HSS LH TAP 3 X .5 BOT TOTEM,OK,OK,KEEP,390.00,390,390.00,526.50,526.50,4,Metric Coarse,3.0 X 0.50,Standard,1,review,
"HSS LH TAP 3/8"" BSW BOT TOTEM",OK,OK,KEEP,585.00,585,585.00,789.75,789.75,3,BSW/BSF,3/8,Standard,1,review,
HSS LH TAP 30 X 2 BOT TOTEM,,OK,ADD,,,6002.00,,8102.70,5,Metric Coarse,30.0 X 1.50/2.00*,Standard,1,review,matched by v2; not previously seeded
HSS LH TAP 30 X 2 TPR TOTEM,,OK,ADD,,,6002.00,,8102.70,5,Metric Coarse,30.0 X 1.50/2.00*,Standard,1,review,matched by v2; not previously seeded
HSS LH TAP 30 X 3.5 BOT TOTEM,OK,OK,KEEP,5360.00,5360,5360.00,7236.00,7236.00,4,Metric Coarse,30.0 X 3.50,Standard,1,verified,
HSS LH TAP 30 X 3.5 GOLD TOTEM,OK,OK,KEEP,6012.00,6012,6012.00,8116.20,8116.20,9,Metric Coarse,30.0 X 3.50,STD GOLD,1,review,
HSS LH TAP 30 X 3.5 SEC TOTEM,OK,OK,KEEP,5360.00,5360,5360.00,7236.00,7236.00,4,Metric Coarse,30.0 X 3.50,Standard,1,review,
HSS LH TAP 30 X 3.5 SET GOLD TOTEM,OK,OK,KEEP,6012.00,6012,6012.00,24348.60,24348.60,9,Metric Coarse,30.0 X 3.50,STD GOLD,3,review,
HSS LH TAP 30 X 3.5 TPR TOTEM,OK,OK,KEEP,5360.00,5360,5360.00,7236.00,7236.00,4,Metric Coarse,30.0 X 3.50,Standard,1,verified,
HSS LH TAP 4 X .7 BOT TOTEM,OK,OK,KEEP,390.00,390,390.00,526.50,526.50,4,Metric Coarse,4.0 X 0.70,Standard,1,review,
HSS LH TAP 4 X .7 SET TOTEM,OK,OK,KEEP,390.00,390,390.00,1579.50,1579.50,4,Metric Coarse,4.0 X 0.70,Standard,3,review,
HSS LH TAP 5 X .8 BOT TOTEM,OK,OK,KEEP,419.00,419,419.00,565.65,565.65,4,Metric Coarse,5.0 X 0.80,Standard,1,review,
HSS LH TAP 5 X .8 SET TOTEM,OK,OK,KEEP,419.00,419,419.00,1696.95,1696.95,4,Metric Coarse,5.0 X 0.80,Standard,3,review,
HSS LH TAP 6 X 1 BOT TOTEM,OK,OK,KEEP,419.00,419,419.00,565.65,565.65,4,Metric Coarse,6.0 X 1.00,Standard,1,verified,
HSS LH TAP 6 X 1 SEC TOTEM,OK,OK,KEEP,419.00,419,419.00,565.65,565.65,4,Metric Coarse,6.0 X 1.00,Standard,1,review,
HSS LH TAP 6 X 1 SET TOTEM,OK,OK,KEEP,419.00,419,419.00,1696.95,1696.95,4,Metric Coarse,6.0 X 1.00,Standard,3,verified,
HSS LH TAP 6 X 1 SPPT TOTEM,OK,OK,KEEP,518.00,518,518.00,699.30,699.30,4,Metric Coarse,6.0 X 1.00,SPPT,1,review,
HSS LH TAP 8 X 1.25 BOT TOTEM,OK,OK,KEEP,504.00,504,504.00,680.40,680.40,4,Metric Coarse,8.0 X 1.25,Standard,1,verified,
HSS LH TAP 8 X 1.25 SET TOTEM,OK,OK,KEEP,504.00,504,504.00,2041.20,2041.20,4,Metric Coarse,8.0 X 1.25,Standard,3,verified,
HSS LH TAP 8 X 1.25 SPFL TOTEM,OK,OK,KEEP,504.00,504,504.00,680.40,680.40,4,Metric Coarse,8.0 X 1.25,Standard,1,review,
HSS LONG LH TAP 14 X 1.5 TYPE C TOTEM,OK,OK,KEEP,1381.00,1381,1381.00,1864.35,1864.35,5,Metric Coarse,14.0 X 1.50,Standard,1,review,
HSS LONG LH TAP 16 X 1.5 TYPE C TOTEM,OK,OK,KEEP,1381.00,1381,1381.00,1864.35,1864.35,5,Metric Coarse,16.0 X 1.50,Standard,1,review,
HSS LONG LH TAP 18 X 1.5 TYPE C TOTEM,OK,OK,KEEP,2367.00,2367,2367.00,3195.45,3195.45,5,Metric Coarse,18.0 X 1.50,Standard,1,review,
HSS LONG LH TAP 20 X 1.5 TYPE C TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,2996.00,2996,,4044.60,,5,Metric Coarse,20.0 X 1.50,Standard,1,review,item absent from this project's stock_items
HSS LONG LH TAP 22 X 2.5 TYPE C TOTEM,OK,OK,KEEP,2843.00,2843,2843.00,3838.05,3838.05,4,Metric Coarse,22.0 X 2.50,Standard,1,review,
HSS LONG LH TAP 24 X 3 TYPE C TOTEM,OK,OK,KEEP,3167.00,3167,3167.00,4275.45,4275.45,4,Metric Coarse,24.0 X 3.00,Standard,1,review,
HSS LONG LH TAP 27 X 3 TYPE C TOTEM,OK,OK,KEEP,4795.00,4795,4795.00,6473.25,6473.25,4,Metric Coarse,27.0 X 3.00,Standard,1,review,
"HSS LONG TAP 1/8"" BSP TOTEM",OK,OK,KEEP,671.00,671,671.00,671.00,671.00,3,BSP,1/8,Standard,1,review,
HSS LONG TAP 10 X 1 TYPE C TOTEM,OK,OK,KEEP,678.00,678,678.00,678.00,678.00,5,Metric Coarse,10.0 X 1.00/1.25,Standard,1,review,
HSS LONG TAP 10 X 1.25 TYPE B TOTEM,,OK,ADD,,,678.00,,678.00,5,Metric Coarse,10.0 X 1.00/1.25,Standard,1,review,matched by v2; not previously seeded
HSS LONG TAP 10 X 1.25 TYPE C GOLD TOTEM,,OK,ADD,,,902.00,,902.00,10,Metric Coarse,10.0 X 1.00/1.25,STD GOLD,1,review,matched by v2; not previously seeded
HSS LONG TAP 10 X 1.25 TYPE C TOTEM,,OK,ADD,,,678.00,,678.00,5,Metric Coarse,10.0 X 1.00/1.25,Standard,1,review,matched by v2; not previously seeded
HSS LONG TAP 10 X 1.5 SC4 TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,609.00,609,,609.00,,4,Metric Coarse,10.0 X 1.50,Standard,1,review,item absent from this project's stock_items
HSS LONG TAP 10 X 1.5 TYPE B TOTEM,OK,OK,KEEP,609.00,609,609.00,609.00,609.00,4,Metric Coarse,10.0 X 1.50,Standard,1,review,
HSS LONG TAP 10 X 1.5 TYPE C TOTEM,OK,OK,KEEP,609.00,609,609.00,609.00,609.00,4,Metric Coarse,10.0 X 1.50,Standard,1,review,
HSS LONG TAP 12 X 1 TYPE C TOTEM,OK,OK,KEEP,1111.00,1111,1111.00,1111.00,1111.00,5,Metric Coarse,12.0 X 1.00/1.25/1.50,Standard,1,review,
HSS LONG TAP 12 X 1.25 TYPE C TOTEM,,OK,ADD,,,1111.00,,1111.00,5,Metric Coarse,12.0 X 1.00*/1.25/1.50,Standard,1,review,matched by v2; not previously seeded
HSS LONG TAP 12 X 1.5 TYPE C TOTEM,,OK,ADD,,,1111.00,,1111.00,5,Metric Coarse,12.0 X 1.00*/1.25/1.50,Standard,1,review,matched by v2; not previously seeded
HSS LONG TAP 12 X 1.75 SC4 TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,947.00,947,,947.00,,4,Metric Coarse,12.0 X 1.75,Standard,1,review,"Silver Cut grade SC4: p12-28, not matched yet"
HSS LONG TAP 12 X 1.75 TYPE B TOTEM,OK,OK,KEEP,947.00,947,947.00,947.00,947.00,4,Metric Coarse,12.0 X 1.75,Standard,1,review,
HSS LONG TAP 12 X 1.75 TYPE C TOTEM,OK,OK,KEEP,947.00,947,947.00,947.00,947.00,4,Metric Coarse,12.0 X 1.75,Standard,1,review,
HSS LONG TAP 14 X 1.5 SC4 TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,1381.00,1381,,1381.00,,5,Metric Coarse,14.0 X 1.50,Standard,1,review,item absent from this project's stock_items
HSS LONG TAP 14 X 1.5 TYPE C TOTEM,OK,OK,KEEP,1381.00,1381,1381.00,1381.00,1381.00,5,Metric Coarse,14.0 X 1.50,Standard,1,review,
HSS LONG TAP 14 X 2 TYPE C TOTEM,OK,OK,KEEP,1378.00,1378,1378.00,1378.00,1378.00,4,Metric Coarse,14.0 X 2.00,Standard,1,review,
HSS LONG TAP 14 X 2 TYPR C TOTEM,OK,OK,KEEP,1378.00,1378,1378.00,1378.00,1378.00,4,Metric Coarse,14.0 X 2.00,Standard,1,review,
HSS LONG TAP 16 X 1 TYPE C TOTEM,OK,OK,KEEP,1426.00,1426,1426.00,1426.00,1426.00,5,Metric Coarse,16.0 X 1.00,Standard,1,review,
HSS LONG TAP 16 X 1.5 TYPE C TOTEM,OK,OK,KEEP,1381.00,1381,1381.00,1381.00,1381.00,5,Metric Coarse,16.0 X 1.50,Standard,1,review,
HSS LONG TAP 16 X 2 TYPE C TOTEM,OK,OK,KEEP,1378.00,1378,1378.00,1378.00,1378.00,4,Metric Coarse,16.0 X 2.00,Standard,1,review,
HSS LONG TAP 18 X 1.5 TYPE C TOTEM,OK,OK,KEEP,2367.00,2367,2367.00,2367.00,2367.00,5,Metric Coarse,18.0 X 1.50,Standard,1,review,
HSS LONG TAP 20 X 1.5 TYPE C TOTEM,OK,OK,KEEP,2996.00,2996,2996.00,2996.00,2996.00,5,Metric Coarse,20.0 X 1.50,Standard,1,review,
HSS LONG TAP 20 X 2.5 TYPE C TOTEM,OK,OK,KEEP,2652.00,2652,2652.00,2652.00,2652.00,4,Metric Coarse,20.0 X 2.50,Standard,1,review,
HSS LONG TAP 22 X 1.5 TYPE C TOTEM,OK,OK,KEEP,3264.00,3264,3264.00,3264.00,3264.00,5,Metric Coarse,22.0 X 1.50,Standard,1,review,
HSS LONG TAP 22 X 2.5 TYPE C TOTEM,OK,OK,KEEP,2843.00,2843,2843.00,2843.00,2843.00,4,Metric Coarse,22.0 X 2.50,Standard,1,review,
HSS LONG TAP 24 X 1.5 TYPE C TOTEM,OK,OK,KEEP,3573.00,3573,3573.00,3573.00,3573.00,5,Metric Coarse,24.0 X 1.50,Standard,1,review,
HSS LONG TAP 24 X 3 TYPE C TOTEM,OK,OK,KEEP,3167.00,3167,3167.00,3167.00,3167.00,4,Metric Coarse,24.0 X 3.00,Standard,1,review,
HSS LONG TAP 27 X 3 TYPE C TOTEM,OK,OK,KEEP,4795.00,4795,4795.00,4795.00,4795.00,4,Metric Coarse,27.0 X 3.00,Standard,1,review,
HSS LONG TAP 3 X .5 TYPE C TOTEM,OK,OK,KEEP,390.00,390,390.00,390.00,390.00,4,Metric Coarse,3.0 X 0.50,Standard,1,review,
HSS LONG TAP 3.5 X .6 TYPE C TOTEM,OK,OK,KEEP,390.00,390,390.00,390.00,390.00,4,Metric Coarse,3.5 X 0.60,Standard,1,review,
HSS LONG TAP 30 X 1.5 TYPE C TOTEM,OK,OK,KEEP,6002.00,6002,6002.00,6002.00,6002.00,5,Metric Coarse,30.0 X 1.50/2.00,Standard,1,review,
HSS LONG TAP 30 X 2 TYPE C TOTEM,,OK,ADD,,,6002.00,,6002.00,5,Metric Coarse,30.0 X 1.50/2.00*,Standard,1,review,matched by v2; not previously seeded
HSS LONG TAP 30 X 3.5 TYPE C TOTEM,OK,OK,KEEP,5360.00,5360,5360.00,5360.00,5360.00,4,Metric Coarse,30.0 X 3.50,Standard,1,review,
HSS LONG TAP 36 X 1.5 TYPE C TOTEM,OK,OK,KEEP,10167.00,10167,10167.00,10167.00,10167.00,5,Metric Coarse,36.0 X 1.50/2.50/3.00,Standard,1,review,
HSS LONG TAP 4 X .7 TYPE C TOTEM,OK,OK,KEEP,390.00,390,390.00,390.00,390.00,4,Metric Coarse,4.0 X 0.70,Standard,1,review,
HSS LONG TAP 5 X .8 TYPE C GOLD TOTEM,OK,OK,KEEP,510.00,510,510.00,510.00,510.00,9,Metric Coarse,5.0 X 0.80,STD GOLD,1,review,
HSS LONG TAP 5 X .8 TYPE C TOTEM,OK,OK,KEEP,419.00,419,419.00,419.00,419.00,4,Metric Coarse,5.0 X 0.80,Standard,1,review,
HSS LONG TAP 5 X. 8 TYPE B TOTEM,,OK,ADD,,,419.00,,419.00,4,Metric Coarse,5.0 X 0.80,Standard,1,review,matched by v2; not previously seeded
HSS LONG TAP 6 X .75 TYPE C TOTEM,OK,OK,KEEP,570.00,570,570.00,570.00,570.00,5,Metric Coarse,6.0 X 0.75,Standard,1,review,
HSS LONG TAP 6 X 1 6G TYPE C GOLD TOTEM,OK,OK,KEEP,510.00,510,510.00,510.00,510.00,9,Metric Coarse,6.0 X 1.00,STD GOLD,1,review,
HSS LONG TAP 6 X 1 SC4 TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,419.00,419,,419.00,,4,Metric Coarse,6.0 X 1.00,Standard,1,review,"Silver Cut grade SC4: p12-28, not matched yet"
HSS LONG TAP 6 X 1 TYPE B TOTEM,OK,OK,KEEP,419.00,419,419.00,419.00,419.00,4,Metric Coarse,6.0 X 1.00,Standard,1,review,
HSS LONG TAP 6 X 1 TYPE C GOLD TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,510.00,510,,510.00,,9,Metric Coarse,6.0 X 1.00,STD GOLD,1,review,item absent from this project's stock_items
HSS LONG TAP 6 X 1 TYPE C TOTEM,OK,OK,KEEP,419.00,419,419.00,419.00,419.00,4,Metric Coarse,6.0 X 1.00,Standard,1,review,
HSS LONG TAP 7 X 1 TYPE C TOTEM,OK,OK,KEEP,535.00,535,535.00,535.00,535.00,4,Metric Coarse,7.0 X 1.00,Standard,1,review,
HSS LONG TAP 8 X 1 TYPE C TOTEM,OK,OK,KEEP,597.00,597,597.00,597.00,597.00,5,Metric Coarse,8.0 X 1.00,Standard,1,review,
HSS LONG TAP 8 X 1.25 SC4 TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,504.00,504,,504.00,,4,Metric Coarse,8.0 X 1.25,Standard,1,review,"Silver Cut grade SC4: p12-28, not matched yet"
HSS LONG TAP 8 X 1.25 TYPE B TOTEM,OK,OK,KEEP,504.00,504,504.00,504.00,504.00,4,Metric Coarse,8.0 X 1.25,Standard,1,review,
HSS LONG TAP 8 X 1.25 TYPE C GOLD TOTEM,OK,OK,KEEP,575.00,575,575.00,575.00,575.00,9,Metric Coarse,8.0 X 1.25,STD GOLD,1,review,
HSS LONG TAP 8 X 1.25 TYPE C TOTEM,OK,OK,KEEP,504.00,504,504.00,504.00,504.00,4,Metric Coarse,8.0 X 1.25,Standard,1,review,
HSS TAP  6 X 1 6G BOT TOTEM,OK,OK,KEEP,419.00,419,419.00,419.00,419.00,4,Metric Coarse,6.0 X 1.00,Standard,1,review,
HSS TAP 0 BA BOT TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,507.00,507,,507.00,,3,BA,0,Standard,1,review,item absent from this project's stock_items
HSS TAP 1 BA BOT TOTEM,OK,OK,KEEP,507.00,507,507.00,507.00,507.00,3,BA,1,Standard,1,verified,
HSS TAP 1 BA SPIREX GOLD TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,507.00,507,,507.00,,3,BA,1,Standard,1,review,"SPIREX: page 11 HSSE grid, not matched yet"
"HSS TAP 1"" BSF BOT TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,3622.00,3622.00,3,BSW/BSF,"1""",Standard,1,review,
"HSS TAP 1"" BSF SET TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,10866.00,10866.00,3,BSW/BSF,"1""",Standard,3,review,
"HSS TAP 1"" BSP BOT TOTEM",OK,OK,KEEP,5257.00,5257,5257.00,5257.00,5257.00,3,BSP,"1""",Standard,1,verified,
"HSS TAP 1"" BSP PAIR  TOTEM",OK,OK,KEEP,5257.00,5257,5257.00,10514.00,10514.00,3,BSP,"1""",Standard,2,verified,
"HSS TAP 1"" BSP TPR TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,5257.00,5257,,5257.00,,3,BSP,"1""",Standard,1,verified,item absent from this project's stock_items
"HSS TAP 1"" BSPT BOT TOTEM",OK,OK,KEEP,7034.00,7034,7034.00,7034.00,7034.00,3,BSPT,"1""",Standard,1,verified,
"HSS TAP 1"" BSPT PAIR TOTEM",OK,OK,KEEP,7034.00,7034,7034.00,14068.00,14068.00,3,BSPT,"1""",Standard,2,review,
"HSS TAP 1"" BSW BOT TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,3622.00,3622.00,3,BSW/BSF,"1""",Standard,1,verified,
"HSS TAP 1"" BSW SEC TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,3622.00,3622.00,3,BSW/BSF,"1""",Standard,1,verified,
"HSS TAP 1"" BSW SET TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,10866.00,10866.00,3,BSW/BSF,"1""",Standard,3,verified,
"HSS TAP 1"" BSW TPR TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,3622.00,3622,,3622.00,,3,BSW/BSF,"1""",Standard,1,review,item absent from this project's stock_items
"HSS TAP 1"" NPT BOT TOTEM",OK,OK,KEEP,7206.00,7206,7206.00,7206.00,7206.00,3,NPT,"1""",Standard,1,verified,
"HSS TAP 1"" NPT PAIR TOTEM",OK,OK,KEEP,7206.00,7206,7206.00,14412.00,14412.00,3,NPT,"1""",Standard,2,verified,
